"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","www.google.com","14,316,983","100"
"2","youtube.com","22,522,678","100"
"3","apple.com","6,459,793","100"
"4","microsoft.com","5,159,601","99"
"5","linkedin.com","11,871,288","99"
"6","www.blogger.com","29,925,456","99"
"7","support.google.com","5,383,968","99"
"8","play.google.com","3,813,033","99"
"9","cloudflare.com","6,438,126","98"
"10","youtu.be","5,120,717","98"
"11","wordpress.org","11,879,097","98"
"12","en.wikipedia.org","6,951,391","98"
"13","maps.google.com","5,855,158","98"
"14","docs.google.com","3,286,147","98"
"15","mozilla.org","2,390,170","98"
"16","plus.google.com","11,141,690","97"
"17","drive.google.com","2,414,985","97"
"18","adobe.com","2,854,182","97"
"19","bp.blogspot.com","17,843,505","97"
"20","accounts.google.com","2,568,287","97"
"21","europa.eu","2,220,789","97"
"22","googleusercontent.com","3,366,797","97"
"23","sites.google.com","2,188,668","97"
"24","whatsapp.com","3,654,474","97"
"25","facebook.com","58,515,368","96"
"26","vk.com","1,785,679","96"
"27","github.com","2,835,220","96"
"28","uol.com.br","686,385","96"
"29","vimeo.com","3,536,524","96"
"30","istockphoto.com","3,606,027","96"
"31","t.me","1,202,996","96"
"32","policies.google.com","2,651,655","96"
"33","amazon.com","4,939,147","96"
"34","who.int","2,002,955","95"
"35","cnn.com","1,634,691","95"
"36","ok.ru","362,027","95"
"37","dan.com","3,779,142","95"
"38","shopify.com","2,510,727","95"
"39","files.wordpress.com","7,649,078","95"
"40","brandbucket.com","11,197,573","95"
"41","forbes.com","1,405,675","95"
"42","search.google.com","1,469,673","95"
"43","feedburner.com","1,828,038","95"
"44","wikimedia.org","2,035,416","95"
"45","slideshare.net","1,004,700","95"
"46","bbc.co.uk","1,736,334","95"
"47","paypal.com","1,122,720","95"
"48","google.com.br","296,453","95"
"49","nytimes.com","2,183,446","95"
"50","nih.gov","1,450,862","95"
"51","gravatar.com","12,310,504","95"
"52","enable-javascript.com","9,143,560","95"
"53","dropbox.com","1,101,546","95"
"54","youronlinechoices.com","575,938","95"
"55","www.weebly.com","5,225,788","95"
"56","imdb.com","1,515,078","95"
"57","google.de","1,125,298","95"
"58","w3.org","1,130,336","95"
"59","fr.wikipedia.org","633,724","95"
"60","jimdofree.com","1,716,663","95"
"61","google.co.jp","657,847","95"
"62","news.google.com","793,574","95"
"63","gstatic.com","626,289","95"
"64","line.me","889,644","95"
"65","theguardian.com","1,575,885","95"
"66","es.wikipedia.org","960,673","95"
"67","creativecommons.org","1,729,067","95"
"68","medium.com","1,735,998","95"
"69","buydomains.com","1,077,198","95"
"70","tools.google.com","1,724,405","95"
"71","draft.blogger.com","11,017,587","95"
"72","developers.google.com","1,120,256","95"
"73","dailymotion.com","1,136,756","95"
"74","google.es","477,080","95"
"75","pt.wikipedia.org","417,245","95"
"76","live.com","946,244","95"
"77","globo.com","452,403","95"
"78","issuu.com","993,885","95"
"79","www.yahoo.com","1,339,379","95"
"80","imageshack.us","816,879","94"
"81","washingtonpost.com","1,169,843","94"
"82","mediafire.com","861,928","94"
"83","domainmarket.com","1,083,073","94"
"84","office.com","599,673","94"
"85","elpais.com","429,613","94"
"86","fb.com","461,178","94"
"87","telegram.me","372,997","94"
"88","cdc.gov","902,962","94"
"89","opera.com","942,916","94"
"90","pinterest.com","8,604,223","94"
"91","msn.com","1,105,186","94"
"92","ru.wikipedia.org","377,072","94"
"93","goo.gl","4,718,159","94"
"94","ytimg.com","936,372","94"
"95","telegraph.co.uk","1,002,730","94"
"96","shutterstock.com","525,169","94"
"97","wsj.com","984,850","94"
"98","yandex.ru","1,028,891","94"
"99","huffpost.com","1,211,355","94"
"100","independent.co.uk","769,415","94"
"101","estadao.com.br","135,527","94"
"102","android.com","315,468","94"
"103","dailymail.co.uk","1,122,640","94"
"104","pixabay.com","475,779","94"
"105","hatena.ne.jp","1,519,904","94"
"106","bing.com","1,021,786","94"
"107","nature.com","619,968","94"
"108","google.pl","197,997","94"
"109","indiatimes.com","484,449","94"
"110","huffingtonpost.com","1,085,918","94"
"111","soundcloud.com","1,832,389","94"
"112","wa.me","1,297,224","94"
"113","researchgate.net","713,224","94"
"114","twitter.com","59,562,368","94"
"115","bloomberg.com","863,044","94"
"116","mail.ru","483,764","94"
"117","google.it","442,714","94"
"118","amazon.de","558,276","94"
"119","fandom.com","612,522","94"
"120","t.co","2,150,760","94"
"121","abril.com.br","274,903","94"
"122","www.gov.uk","631,141","94"
"123","photos.google.com","277,919","94"
"124","picasaweb.google.com","634,324","94"
"125","aliexpress.com","519,700","94"
"126","tinyurl.com","1,430,183","94"
"127","list-manage.com","787,987","94"
"128","foxnews.com","588,723","94"
"129","un.org","605,180","94"
"130","wikihow.com","618,586","94"
"131","amazon.co.uk","781,066","94"
"132","wikia.com","509,224","94"
"133","4shared.com","561,550","94"
"134","tiktok.com","680,741","94"
"135","businessinsider.com","860,493","94"
"136","thesun.co.uk","419,534","94"
"137","ig.com.br","157,848","94"
"138","news.yahoo.com","690,557","94"
"139","booking.com","406,748","94"
"140","cnet.com","741,296","94"
"141","archive.org","1,187,170","94"
"142","reuters.com","938,273","94"
"143","myspace.com","1,377,850","94"
"144","get.google.com","644,099","94"
"145","google.co.uk","599,491","94"
"146","amazon.co.jp","864,464","94"
"147","bit.ly","4,916,111","94"
"148","samsung.com","398,257","94"
"149","netvibes.com","1,220,232","94"
"150","usatoday.com","866,432","94"
"151","scribd.com","768,937","94"
"152","storage.googleapis.com","852,926","94"
"153","terra.com.br","199,810","94"
"154","google.fr","411,391","94"
"155","bbc.com","911,062","94"
"156","nasa.gov","683,291","94"
"157","aboutads.info","621,512","94"
"158","forms.gle","758,992","94"
"159","namecheap.com","1,118,905","94"
"160","cpanel.net","1,739,245","94"
"161","time.com","831,208","94"
"162","webmd.com","799,509","94"
"163","plesk.com","698,859","94"
"164","mirror.co.uk","415,560","94"
"165","marketingplatform.google....","858,675","94"
"166","networkadvertising.org","741,873","94"
"167","amazon.es","191,677","94"
"168","afternic.com","2,924,625","94"
"169","change.org","501,752","94"
"170","de.wikipedia.org","675,254","94"
"171","cbsnews.com","661,491","94"
"172","myaccount.google.com","354,655","94"
"173","mail.google.com","494,220","94"
"174","wp.com","2,107,110","94"
"175","francetvinfo.fr","175,901","93"
"176","gnu.org","586,923","93"
"177","ria.ru","198,662","93"
"178","google.co.in","279,054","93"
"179","guardian.co.uk","610,231","93"
"180","netlify.app","383,767","93"
"181","sapo.pt","233,605","93"
"182","redbull.com","164,765","93"
"183","www.wikipedia.org","542,873","93"
"184","m.wikipedia.org","326,382","93"
"185","bandcamp.com","619,090","93"
"186","lemonde.fr","274,472","93"
"187","ssl-images-amazon.com","568,868","93"
"188","oup.com","419,968","93"
"189","nginx.org","782,171","93"
"190","www.wix.com","726,394","93"
"191","walmart.com","351,968","93"
"192","ca.gov","527,687","93"
"193","berkeley.edu","498,959","93"
"194","target.com","299,160","93"
"195","quora.com","447,983","93"
"196","liveinternet.ru","343,321","93"
"197","abc.net.au","420,773","93"
"198","bp2.blogger.com","557,457","93"
"199","dreamstime.com","432,741","93"
"200","addthis.com","662,598","93"
"201","ietf.org","392,653","93"
"202","vice.com","412,941","93"
"203","adssettings.google.com","400,141","93"
"204","clickbank.net","489,937","93"
"205","biglobe.ne.jp","241,672","93"
"206","washington.edu","378,168","93"
"207","yelp.com","945,858","93"
"208","amazon.fr","256,397","93"
"209","ftc.gov","297,494","93"
"210","search.yahoo.com","466,256","93"
"211","discord.gg","359,005","93"
"212","hp.com","485,817","93"
"213","nationalgeographic.com","642,258","93"
"214","thenai.org","502,218","93"
"215","secureserver.net","945,333","93"
"216","pinterest.fr","127,629","93"
"217","amzn.to","958,086","93"
"218","radiofrance.fr","128,244","93"
"219","spiegel.de","371,531","93"
"220","photos1.blogger.com","882,731","93"
"221","akamaihd.net","593,033","93"
"222","disqus.com","938,941","93"
"223","php.net","663,967","93"
"224","ibm.com","518,201","93"
"225","lavanguardia.com","154,889","93"
"226","cointernet.com.co","578,717","93"
"227","lg.com","144,489","93"
"228","newsweek.com","399,729","93"
"229","ebay.com","952,332","93"
"230","netflix.com","370,711","93"
"231","zoom.us","654,879","93"
"232","economist.com","390,844","93"
"233","www.livejournal.com","3,013,713","93"
"234","techcrunch.com","519,706","93"
"235","whitehouse.gov","405,924","93"
"236","imageshack.com","459,742","93"
"237","themeforest.net","533,616","93"
"238","it.wikipedia.org","338,966","93"
"239","huawei.com","1,952,253","93"
"240","picasa.google.com","257,679","93"
"241","yandex.com","1,536,091","93"
"242","latimes.com","740,828","93"
"243","lefigaro.fr","227,263","93"
"244","steampowered.com","289,796","93"
"245","mozilla.com","210,074","93"
"246","mega.nz","188,990","93"
"247","fb.me","338,831","93"
"248","buzzfeed.com","626,182","93"
"249","arxiv.org","251,227","93"
"250","akamaized.net","330,921","93"
"251","instructables.com","356,315","93"
